stock_code,company_name,market,industry,required_window,missing_annual_years,missing_annual_count,missing_quarters,failed_periods,initial_reason,subagent_todo
1295,生合,TPEX,02,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
1589,永冠-KY,TWSE,05,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2024、2025,2,2026Q1、2026Q2,2026Q1、2025Q4,初步推論：歷史期別不完整，可能為新掛牌、轉板、代號沿革或官方無列，需逐檔查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
1623,大東電,TWSE,06,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
3715,定穎投控,TWSE,28,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
3716,中化控股,TWSE,22,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023,3,2026Q2,2023Q4、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
3717,聯嘉投控,TWSE,12,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023,3,2026Q2,2025Q1、2023Q4、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
4178,永笙-KY,TWSE,22,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6620,漢達,TPEX,22,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,-,0,2026Q2,2025Q1,當期尚未公告；應列 pending，公告後重試,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6862,三集瑞-KY,TWSE,28,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6887,寶綠特-KY,TWSE,35,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6890,來億-KY,TWSE,37,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6907,雅特力-KY,TPEX,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023,3,2026Q2,2023Q4、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
